"* Required Fields","* Required Fields"
"1. Billing address","1. Billing address"
"2. New customer form","2. New customer form"
"3. Credit application","3. Credit application"
"4. Tax Exemption","4. Tax Exemption"
"5. W9","5. W9"
"About Your Order","Special Instructions"
"Accept","Accept"
"Account Information","Account Information"
"Account payable email:","Account payable email:"
"Account Settings","Account Settings"
"Accounts Payable Email Address","Accounts Payable Email Address"
"Accounts Payable:","Accounts Payable:"
"Action","Action"
"Actions","Actions"
"Add Address","Add Address"
"Add New Address","Add New Address"
"Add to Cart","Add to Cart"
"Add to Compare","Add to Compare"
"Add to Sample Cart","Add to Sample Cart"
"Add to Wish List","Add to Wish List"
"Add units","Add units"
"Added to Cart","Added to Cart"
"Additional Address Entries","Additional Addresses"
"Additional addresses","Additional addresses"
"Address Name","Address Name"
"All Categories","All Categories"
"All fields are required","All fields are required"
"An error has occurred, please try again","An error has occurred, please try again"
"Apply Now","Apply Now"
"Article","Article"
"Back","Back"
"Before removing this product from your cart, would you like to save it to your wishlist?","Before removing this product from your cart, would you like to save it to your wishlist?"
"Billing Address","Billing Address"
"Box (%1 Units)","Box (%1 Units)"
"Boxes","Boxes"
"By submitting this form I agree a Credit Review to receive Payment Terms.","By submitting this form I agree a Credit Review to receive Payment Terms."
"Cancel","Cancel"
"Canceled","Canceled"
"Change Billing Address","Edit"
"Change Email and Password","Change Email and Password"
"Change Email","Change Email"
"Change Password","Change Password"
"Change Shipping Address","Edit"
"Check items to add to the cart or","Check items to add to the cart or"
"Choose Currency","Choose Currency"
"Choose Language","Choose Language"
"Choose Region","Choose Region"
"City","City"
"Clear All","Clear All"
"Clear Cart","Clear Cart"
"Clear Shopping Cart","Clear Shopping Cart"
"Click <a href="%1">here</a> to continue shopping ...","Click <a href="%1">here</a> to continue shopping ..."
"Close","Close"
"COL - DOLLAR","COL - DOLLAR"
"Colombia","Colombia"
"Company Name","Company Name"
"Company","Company"
"Confirm New Password","Confirm New Password"
"Contact Information","Contact Information"
"Contact Name","Contact Name"
"Contact Us","Contact Us"
"Continue Adding Samples","Continue Adding Samples"
"Continue Shopping","Continue Shopping"
"Continue to Order","Continue to Order"
"Continue to Samples Checkout","Continue to Samples Checkout"
"Continue","Continue"
"Country","Country"
"Create an account","Create an account"
"Create an Account","Create an Account"
"Currency","Currency"
"Custom Wishlist","Custom Wishlist"
"Custom","Custom"
"Customer Information","Customer Information"
"Decowraps customers enjoy free samples on most stock products. Additional shipping fees may apply.","Decowraps customers enjoy free samples on most stock products. Additional shipping fees may apply."
"Decowraps offers free ground shipping on all sample orders. If you'd like to get your samples sooner, please specify in the notes section below. Additional fees may apply.","Decowraps offers free ground shipping on all sample orders. If you'd like to get your samples sooner, please specify in the notes section below. Additional fees may apply."
"Default Addresses","Default Addresses"
"Default Billing Address","Default Billing Address"
"Delete image","Delete image"
"Delete","Delete"
"Delivery:","Delivery:"
"Delivery","Delivery"
"Download Credit Application Form","Download Credit Application Form"
"Download the New Customer Form","Download the New Customer Form"
"EC - DOLLAR","EC - DOLLAR"
"Ecuador","Ecuador"
"Edit Address","Edit Address"
"Edit Address","Edit"
"Email Address","Email Address"
"Email Address*","Email Address*"
"Email","Email"
"English","English"
"Enjoy all that Decowraps has to offer:","Enjoy all that Decowraps has to offer:"
"Enter Keyword or Item","Enter keywords to search..."
"EUROPE - EURO","EUROPE - EURO"
"Europe","Europe"
"Excl. Tax","Excl. Tax"
"Expiration Date","Expiration Date"
"Field","Field"
"File size must be less than 5 MB","File size must be less than 5 MB"
"Filters Applied","Filters Applied"
"Finish","Finish"
"First name","First name"
"Forgot Your Password?","Forgot Your Password?"
"Free Samples","Free Samples"
"From","From"
"Full Name","Full Name"
"Full Name*","Full Name*"
"Go back","Go back"
"Go to Decowraps","Go to Decowraps"
"Go to Home","Go to Home"
"I accept <a href="%1">Terms and conditions</a> and <a href="%2">Privacy policy","I accept <a href="%1">Terms and conditions</a> and <a href="%2">Privacy policy"
"I agree to Decowraps.com <a href="%1" target="_blank">Terms and Conditions</a> and <a href="%2" target="_blank">Privacy Policy</a>","I agree to Decowraps.com <a href="%1" target="_blank">Terms and Conditions</a> and <a href="%2" target="_blank">Privacy Policy</a>"
"If you have a valid Sales Tax Exemption Certificate, please upload the document and add the expiration date below.","If you have a valid Sales Tax Exemption Certificate, please upload the document and add the expiration date below."
"If you have any questions in the meantime, please don\'t hesitate to contact us.","If you have any questions in the meantime, please don\'t hesitate to contact us."
"If you would like to edit your online shopping options, please <a href="%1" target="_blank">contact us</a> and a Customer Services Representative will help you update your account shortly.","If you would like to edit your online shopping options, please <a href="%1" target="_blank">contact us</a> and a Customer Services Representative will help you update your account shortly."
"If you would like to establish a line of credit with Decowraps, please download the below form and upload the completed document for our review.","If you would like to establish a line of credit with Decowraps, please download the below form and upload the completed document for our review."
"In stock","In stock"
"In Stock","In Stock"
"In the unfortunate event there are any issues with your order such as damage, please upload a picture below.","In the unfortunate event there are any issues with your order such as damage, please upload a picture below."
"Incl. Tax","Incl. Tax"
"Inventory Notification Activated","Inventory Notification Activated"
"Items Ordered","Items Ordered"
"items","items"
"Items","Items"
"Job Title","Job Title"
"JPG, PNG Format. Max. 5MB.","JPG, PNG Format. Max. 5MB."
"Last name","Last name"
"Leave us a message and tell us the address where you want to receive your sample kit.","Leave us a message and tell us the address where you want to receive your sample kit."
"Log out","Log out"
"Login","Login"
"Material:","Material:"
"Max size 5 MB.","Max size 5 MB."
"Message","Message"
"Minimum of different classes of characters in password is %1. Classes of characters: Lower Case, Upper Case, Digits, Special Characters.","Add a password with at least one lower case, upper case, digits and special character."
"More Choices:","More Choices:"
"More","More"
"Most popular","Most popular"
"Most Viewed Products","Most Viewed Products"
"Move to wishlist","Move to wishlist"
"My Account","My Account"
"My Custom Products","My Custom Products"
"My Wish List","My Wishlist"
"My wishlist","My wishlist"
"Name","Name"
"New Address","New Address"
"New Products","New Products"
"New","New"
"Newsletters","Newsletter"
"Next","Next"
"NIT","NIT"
"NIT:","NIT:"
"No Password","No Password"
"No Payment method available.","We are temporarily not accepting any payment method other than Credit Terms. Please contact us to establish terms and complete your order."
"No shipping information available","No shipping information available"
"Note","Note"
"Notify me","Notify me"
"On Demand","On Demand"
"Once this product comes back in stock, we'll notify you via email.","Once this product comes back in stock, we'll notify you via email."
"Online Orders","Online Orders"
"or","or"
"Order #","Order #"
"Order Date:","Order Date:"
"Order Information","Order Information"
"Order Summary","Order Summary"
"Order Total Listing","Order Total"
"Order Total","Subtotal:"
"Out of stock","Out of stock"
"Out of Stock","Out of Stock"
"Packing:","Packing:"
"Password Strength","Password Strength"
"Password","Password"
"Payment method:","Payment method:"
"Payment Method","Payment Method"
"PDF Format.","PDF Format."
"per page","Results per page:"
"Personalized Customer Service","Personalized Customer Service"
"Phone Number","Phone Number"
"Phone Number*","Phone Number*"
"Phone","Phone"
"Place Order","Place Order"
"Please complete the below fields and we\'ll contact you as soon as possible.","Please complete the below fields and we\'ll contact you as soon as possible."
"Please confirm which products you would like to return and why.","Please confirm which products you would like to return and why."
"Please download and fill out the New Customer Form","Please download and fill out the New Customer Form"
"Please expect an order confirmation email complete with delivery details to hit your inbox shortly.","Please expect an order confirmation email complete with delivery details to hit your inbox shortly."
"Please select an address","Please select an address"
"Please select and accept your Cookies Group","Please select and accept your cookies settings"
"Please select your preferred region, language, and currency. Remember, we can only ship orders to addresses located in your selected country.","Please select your preferred region. Remember, we can only ship sample orders to addresses located in your selected country."
"Please update or cancel Billing Address Form.","Please update your Billing Address"
"Please upload a copy of your W9","Please upload a copy of your W9"
"Please upload your resume here","Please upload your resume here"
"Pre Sale","Pre Sale"
"Previous","Previous"
"Price per unit","Price per unit"
"Price","Price"
"Product Name","Product Name"
"Product Subtotal","Product Subtotal"
"Products to Return","Products to Return"
"Products","Products"
"Purchase options","Purchase options"
"Qty Units","Qty Units"
"Qty:","Qty:"
"Qty","Qty"
"Quantity","Quantity"
"Read more","Read more"
"Ref:","Ref:"
"Refunded","Refunded"
"Regular Price","Regular Price"
"Related Articles","Related Articles"
"Related Keywords","Related Keywords"
"Related Products","Related Products"
"Remove","Remove"
"Reorder","Reorder"
"Request Sent","Request Sent"
"Request your free sample kit from The Floristshop","Request your free sample kit from The Floristshop"
"Results","Results"
"Return Products","Return Products"
"Return to Home","Return to Home"
"Review Info","Review Info"
"Review Info","Review Info"
"RUC","RUC"
"Sale","Sale"
"Sample Order #","Sample Order #"
"Sample Orders","Sample Orders"
"Samples Cart","Samples Cart"
"Samples","Samples"
"Save Address","Save Address"
"Save and Continue Edit","Save and Continue Edit"
"Save","Save"
"SCROLL UP","SCROLL UP"
"Search entire store here...","Enter keywords to search..."
"Search your products...","Search your products..."
"Search","Search"
"See price before order confirmation.","See price before order confirmation."
"select all","select all"
"Select All","Select All"
"Select country","Select country"
"Select product attributes to view pricing and inventory levels","Select product attributes to view pricing and inventory levels"
"Select your options","Select your options"
"Send Kit Request","Send Kit Request"
"Send request","Send request"
"Set a New Password","Set a New Password"
"Share Wish List","Share"
"Ship Here","Ship Here"
"Ship to your address","Ship to your address"
"Shipped","Shipped"
"Shipping Address","Shipping Address"
"Shipping Method","Shipping Method"
"Shopping Cart Items","Shopping Cart Items"
"Shopping Options","Shopping Options"
"Sign in to continue","Sign in to continue"
"Sign In","Sign In"
"Sign Up for Our Newsletter:","Sign Up for Our Newsletter:"
"Sign Up","Sign Up"
"Skip (I don't want to buy online)","Skip (I don't want to buy online)"
"SKU","SKU"
"Special Price","Special Price"
"State/Province","State/Province"
"Status","Status"
"Stay logged in","Stay logged in"
"Street Address 1","Street Address 1"
"Street Address 2","Street Address 2"
"Street Address: Line %1","Street Address: Line %1"
"Street Address: Line 1","Street Address: Line 1"
"Street Address: Line 2","Street Address: Line 2"
"Street Address","Street Address"
"Submit Request","Submit Request"
"Submit Your Application","Submit Your Application"
"Submit","Submit"
"Subscribe","Subscribe"
"Subscription option","Sign up to receive exclusive updates on special promotions, new product announcements, industry news, and more!"
"Substitute Products","Similar Styles"
"Subtotal products:","Subtotal products:"
"Subtotal to add","Subtotal"
"Subtotal","Subtotal products:"
"Subtotals order details","Subtotal"
"Summary","Order summary"
"Sustainable:","Sustainable:"
"TAX % / VAT %:","TAX % / VAT %:"
"TAX","Tax"
"Thank you for registering with %1.","Thank you for registering with Decowraps"
"Thank you for shopping with Decowraps. Please expect an order confirmation email to hit your inbox shortly.","Thank you for shopping with Decowraps. Please expect an order confirmation email to hit your inbox shortly."
"Thank you for your interest in opening an account with Decowraps. Partnering with Decowraps has many benefits:","Thank you for your interest in opening an account with Decowraps. Partnering with Decowraps has many benefits:"
"Thank you for your order!","Thank you for your order!"
"The account sign-in was incorrect or your account is disabled temporarily. Please wait and try again later.","User and password are incorrect. Please check credentials and try again."
"The Florist Shop","The Florist Shop"
"There is a <strong>partial box available</strong> with <span class="partial-box-unit">%1</span> units.<br> Would you like to add them to your cart?","There is a <strong>partial box available</strong> with <span class="partial-box-unit">%1</span> units.<br> Would you like to add them to your cart?"
"This is a required field.","This is a required field."
"Title","Title"
"To start the return process, complete the following information below and a Customer Service Representative will contact you as soon as possible. For more information regarding our return Policy <a href="%1" target="_blank">click here.</a>","To start the return process, complete the following information below and a Customer Service Representative will contact you as soon as possible. For more information regarding our return Policy <a href="%1" target="_blank">click here.</a>"
"To","To"
"Total Incl. Tax","Total Incl. Tax"
"Total:","Total:"
"Unit","Unit"
"units in stock","units in stock"
"units","units"
"Units","Units"
"Unsubscribe from all stock alerts","Unsubscribe from all stock alerts"
"Update cart","Update cart"
"Update Shopping Cart","Update Shopping Cart"
"Update Wish List","Update Wishlist"
"Upload Credit Application Form","Upload Credit Application Form"
"Upload picture","Upload picture"
"Upload Tax Exemption Certificate","Upload Tax Exemption Certificate"
"Upload the New Customer Form","Upload the New Customer Form"
"Upload W9 Document","Upload W9 Document"
"Upload","Upload"
"US - DOLLAR","US - DOLLAR"
"USA","USA"
"USD","USD"
"Use as my default shipping address","Use as my default shipping address"
"Vat","VAT"
"VAT","VAT"
"View Cart","View Cart"
"View Detail","View Detail"
"View Order","View Order"
"View Wish List","View Wishlist"
"View"","View"
"We appreciate your interest in our products and hope that these samples guide you in your design process.","We appreciate your interest in our products and hope that these samples guide you in your design process."
"We found other products you might like!","We found other products you might like!"
"We have successfully received your request. Our Customer Service Team will review the information provided and contact you as soon as possible","We have successfully received your request. Our Customer Service Team will review the information provided and contact you as soon as possible"
"We received too many requests for password resets. Please wait and try again later or contact %1.","We received many requests for password reset, for security reasons please wait and try again later."
"We'll keep you posted!","We'll keep you posted!"
"Wish List Sharing","Share Your Wishlist"
"You already requested shopping options, if you have any further question please <a href="%1">contact us.","You already requested shopping options, if you have any further question please <a href="%1">contact us."
"You Are Signed Out","You Are Signed Out"
"You are subscribed to ""General Subscription"".","You are subscribed to ""General Subscription"""
"You have no default billing address in your address book.","You have no default billing address in your address book."
"You have no items in your wish list.","You have no items in your Wishlist."
"You have no other address entries in your address book.","You have no other address entries in your address book."
"You have reached the maximum available inventory","You have reached the maximum available inventory"
"You have signed out and will go to our homepage in 5 seconds.","You have signed out and will go to our homepage in 5 seconds."
"You Might Also Like","You Might Also Like"
"Your email address","Your email address"
"Your request has been made.","Your request has been made."
"Your samples cart is empty","Your samples cart is empty"
"Zip Code","Zip Code"
"Zip/Postal Code","Zip/Postal Code"